역사_ID,역사명,호선,위도,경도,구,동
9996,미사,5호선,37.560927,127.193877,하남시,망월동
9995,강일,5호선,37.55749,127.17593,강동구,강일동
4929,김포공항,김포골드라인,37.56236,126.801868,강서구,방화동
4928,고촌,김포골드라인,37.601243,126.770345,김포시,고촌읍
4927,풍무,김포골드라인,37.612488,126.732387,김포시,사우동
4926,사우(김포시청),김포골드라인,37.620249,126.719731,김포시,사우동
4925,걸포북변,김포골드라인,37.63165,126.705975,김포시,북변동
4924,운양,김포골드라인,37.653867,126.68393,김포시,운양동
4923,장기,김포골드라인,37.643986,126.669017,김포시,장기동
4922,마산,김포골드라인,37.640732,126.644344,김포시,마산동
4921,구래,김포골드라인,37.645384,126.628633,김포시,구래동
4920,양촌,김포골드라인,37.642379,126.614309,김포시,양촌읍
4815,원시,서해선,37.302371,126.786691,안산시 단원구,원시동
4814,원곡,서해선,37.31321,126.796261,안산시 단원구,원시동
4813,초지,서해선,37.319619,126.808147,안산시 단원구,초지동
4812,선부,서해선,37.334353,126.809904,안산시 단원구,선부동
4811,달미,서해선,37.348847,126.809409,안산시 단원구,선부동
4810,시흥능곡,서해선,37.369864,126.808573,시흥시,능곡동
4809,시흥시청,서해선,37.382223,126.805625,시흥시,장현동
4808,신현,서해선,37.409008,126.788017,시흥시,미산동
4807,신천,서해선,37.439066,126.786788,시흥시,신천동
4806,시흥대야,서해선,37.450145,126.793041,시흥시,대야동
4805,소새울,서해선,37.468467,126.797252,부천시 소사구,소사본동
4804,소사,서해선,37.483279,126.795023,부천시 원미구,소사동
4713,신설동,우이신설선,37.576095,127.023242,동대문구,신설동
4712,보문,우이신설선,37.585286,127.019381,성북구,보문동2가
4711,성신여대입구(돈암),우이신설선,37.592467,127.016516,성북구,동소문동5가
4710,정릉,우이신설선,37.603133,127.013396,성북구,정릉동
4709,북한산보국문,우이신설선,37.612072,127.008251,성북구,정릉동
4708,솔샘,우이신설선,37.620238,127.013626,강북구,미아동
4707,삼양사거리,우이신설선,37.621337,127.020473,강북구,미아동
4706,삼양,우이신설선,37.626914,127.018106,강북구,미아동
4705,화계,우이신설선,37.634133,127.017511,강북구,수유동
