구,동,학교명,학업성취도,도로명주소,X좌표(경도),Y좌표(위도)
강남구,수서동,대왕중학교,97.6,서울 강남구 광평로20길 7,127.087353806198,37.4834925762005
광진구,광장동,광남중학교,97.6,서울 광진구 아차산로70길 17-62,127.10141469495024,37.54045812903372
강남구,압구정1동,압구정중학교,97.6,서울 강남구 압구정로 225,127.032931415938,37.5302500040615
송파구,방이동,오륜중학교,97.2,서울 송파구 양재대로 1242,127.138818061205,37.5161966686144
강남구,대치동,대청중학교,97.1,서울 강남구 양재천로 321,127.058315194339,37.4905059032003
양천구,목동,목운중학교,96.4,서울 양천구 목동동로 235,126.872601748812,37.5269458807837
양천구,목동,월촌중학교,95.8,서울 양천구 목동서로 31,126.882883959807,37.5379235048484
서초구,서초동,서운중학교,95.5,서울 서초구 서운로 115,127.02462442295,37.4939920132111
강남구,대치동,대명중학교,95.2,서울 강남구 역삼로87길 26,127.060811228534,37.5064164147914
양천구,목동,신목중학교,95.0,서울 양천구 목동중앙로 88,126.87289237500104,37.537015777274874
강남구,압구정동,신사중학교,94.8,서울 강남구 압구정로 123,127.020923936058,37.5246485099653
송파구,신천동,잠실중학교,94.7,서울 송파구 올림픽로35길 130,127.099139508179,37.5175845381267
강남구,대치동,단국대학교사범대학부속중학교,94.6,서울 강남구 도곡로64길 21,127.056934898397,37.495440491239
강남구,역삼동,역삼중학교,94.3,서울 강남구 도곡로43길 10,127.048653069784,37.4959811922548
종로구,홍지동,상명대학교사범대학부속여자중학교,94.2,서울 종로구 홍지문2길 20,126.954158391566,37.6028191141733
강남구,도곡동,도곡중학교,94.2,서울 강남구 언주로57길 31,127.045050332033,37.4923894053704
강남구,개포동,구룡중학교,94.2,서울 강남구 선릉로 103,127.056299149592,37.4861027549873
양천구,신정7동,봉영여자중학교,94.1,서울 양천구 목동동로2길 68,126.861389851673,37.5089744686272
서초구,반포동,원촌중학교,94.1,서울 서초구 사평대로45길 10,127.013974530041,37.5063123083352
서초구,반포동,세화여자중학교,94.0,서울 서초구 신반포로 56-7,126.994236798703,37.5020061881176
서초구,서초동,서일중학교,93.8,서울 서초구 서운로21길 2,127.022079400122,37.4992616030084
동작구,대방동,숭의여자중학교,93.7,서울 동작구 여의대방로36길 79,126.928926595857,37.508324420286
강남구,역삼동,진선여자중학교,93.7,서울 강남구 선릉로85길 27,127.048394816421,37.5023351938448
광진구,광장동,양진중학교,93.5,서울 광진구 워커힐로 32,127.0981665329,37.5450730890035
양천구,신정동,목일중학교,93.3,서울 양천구 목동동로8길 70,126.874190137821,37.5134469624798
송파구,잠실2동,잠신중학교,93.1,서울 송파구 잠실로 12,127.08794846536,37.5162238762902
도봉구,창동,노곡중학교,92.7,서울 도봉구 노해로70길 95,127.053438999837,37.6483986432408
서초구,반포동,신반포중학교,92.7,서울 서초구 신반포로19길 26,126.995788204283,37.5060211341774
강남구,삼성동,언주중학교,92.1,서울 강남구 선릉로116길 57,127.046656322962,37.5146508261771
